Sin nombre: 0, título, Ingredientes, Direcciones, NER
65, El caramelo para diabéticos de Annie," [""1 (8 oz.) de gelatina de vainilla sin azúcar o pudín de vainilla francesa (poner en seco)"", ""1 (8 oz.) de queso crema Philadelphia light"", ""2 cucharadas de mantequilla"", ""2 cucharadas. mantequilla de maní o más si lo desea""]"," [""Mezclar todos los ingredientes, formar bolitas y enrollarlas en maní picado."", ""Mantener refrigerado"".]"," [""vainilla"", ""queso crema"", ""mantequilla"", ""mantequilla de maní""]"
66, Mousse De Melocotón Congelado,"[""4 melocotones medianos, pelados y picados"", ""1 a 1 1/4 taza de azúcar"", ""1 1/4 taza de crema agria (use light)"", ""1/4 taza de jugo de limón"", ""3 /4 a 1 cucharadita de vainilla""]"," [""Haga puré de duraznos en una licuadora"", ""Agregue los ingredientes restantes"", ""Licue, vierta en un recipiente y congele"".]"," [""melocotones"", ""azúcar"", ""crema agria"", ""jugo de limón"", ""vainilla""]"
67, Tarta de fresa," [""16 oz. Cool Whip"", ""2 paquetes de fresas congeladas *"", ""2 masas de pastel de molde hondo (9 pulgadas), ""1 3/4 taza de azúcar"", ""12 oz. de queso crema""]"," [""*También puedes usar arándanos o cerezas.""]"," [""fresas congeladas"", ""azúcar"", ""queso crema""]"
68, Sorpresa de arándanos," [""1 barra de margarina"", ""1 1/2 taza de migas de galletas Graham"", ""1/4 taza de azúcar granulada""]","[""Mezcle los ingredientes y presione 2/3 de la mezcla en el fondo de una fuente para hornear cuadrada."", ""(Se puede usar un tazón que tenga el mismo diámetro en la parte superior e inferior, de 1 1/2 a 2 cuartos de galón de tamaño)""]"," [""margarina"", ""migas de galletas Graham"", ""azúcar granulada""]"
69, Pastel Húmedo De Comida Del Diablo," [""2 tazas de harina tamizada"", ""1 1/2 cucharadita de bicarbonato de sodio"", ""1/4 cucharadita de sal"", ""1/2 taza de manteca vegetal"", ""1 1/2 taza de azúcar"", ""2 huevos, separados"", ""1/2 taza de cacao"", ""agua"", ""1 cucharadita de vainilla"", ""1 taza de leche""]","[""Tamizar la harina, la soda y la sal; reservar"", ""Combinar la manteca vegetal y el azúcar en un tazón"", ""Batir hasta que esté cremoso"", ""Agregar las yemas de huevo; batir bien"", ""Combinar el cacao, el agua y vainilla para hacer 1 taza; mezclar bien"", ""Agregar a la masa"", ""Agregar la mezcla de harina alternativamente con la leche"", ""Batir bien después de cada adición; reservar"", ""Batir las claras de huevo hasta que se formen picos rígidos cuando se bate se levanta."", ""Incorpore la masa. Hornee en dos moldes para pasteles engrasados de 9 pulgadas a 375\u00b0 durante 30 minutos.""]"," [""harina"", ""bicarbonato de sodio"", ""sal"", ""manteca vegetal"", ""azúcar"", ""huevos"", ""cacao"", ""agua"", ""vainilla"", ""leche""]"
70, Pastel de Guerra Civil de Dot,"[""3 manzanas medianas, picadas"", ""2 tazas de pasas"", ""1 taza de azúcar moreno"", ""1 taza de azúcar granulada"", ""2 cucharadas de manteca vegetal"", ""2 tazas de agua fría"", ""3 tazas . harina"", ""2 cucharaditas de refresco"", ""1 cucharadita de canela"", ""1 cucharadita de nuez moscada"", ""1 cucharadita de clavo"", ""1 cucharadita de sal"", ""1 taza de nueces""]"," [""Combine y cocine los primeros 6 ingredientes"", ""Deje hervir y hierva durante 5 minutos; enfríe"", ""Agregue los ingredientes secos tamizados a la mezcla de manzana. Revuelva y mezcle únicamente"", ""Agregue nueces"", ""Vierta en molde tubular engrasado y enharinado."", ""Hornear 1 hora a 350\u00b0."", ""16 porciones.""]"," [""manzanas"", ""pasas"", ""azúcar moreno"", ""azúcar"", ""manteca vegetal"", ""agua fría"", ""harina"", ""refresco"", ""canela"", ""nuez moscada"", ""clavo"", ""sal"" , ""nueces""]"
71, Cazuela De Patatas,"[""6 tazas de papas cortadas en cubitos"", ""1/2 taza de cebolla picada"", ""3/4 tazas de mantequilla derretida"", ""1 lata de crema de pollo"", ""1 (8 onzas) de crema agria"", "" 1 taza de queso cheddar rallado"", ""2 tazas de copos de maíz triturados""]"," [""Pele y corte las papas; colóquelas en un recipiente con agua fría con sal. Escurra las papas y séquelas con toallas de papel."", ""Mezcle 1/2 taza de mantequilla, cebolla, sopa, crema agria y queso; revuelva bien."", ""Agregue papas a la mezcla y viértalas en una cacerola de 2 1/2 cuartos."", ""Triture los copos de maíz, mezcle con la mantequilla restante"", ""Espolvoree los copos de maíz y la mantequilla sobre la mezcla de papas"", ""Hornee a 350\u00b0 por 50 minutos.""]"," [""patatas"", ""cebolla"", ""mantequilla"", ""crema de pollo"", ""crema agria"", ""queso cheddar"", ""copos de maíz""]"
72, pastel de ensueño," [""obleas de vainilla"", ""mantequilla""]"," [""Mezcla migas de oblea de vainilla con mantequilla.""]"," [""obleas de vainilla"", ""mantequilla""]"
73,Dulce de Divinidad," [""2 2/3 tazas de azúcar"", ""2/3 tazas de jarabe de maíz blanco (Karo)"", ""2/3 tazas de agua fría"", ""2 claras de huevo"", ""1 cucharadita de vainilla"", ""1 c. nueces picadas""]"," [""Mezclar bien el azúcar, el almíbar y el agua."", ""Dejar hervir sin revolver hasta que se forme una bola dura en agua fría."", ""Vierta esto sobre claras de huevo bien batidas, batiendo constantemente."", ""Deje enfriar; agregue vainilla y nueces."", ""Batir hasta que esté frío y lo suficientemente espeso para que cuaje. Vierta en un plato untado con mantequilla o deje caer cucharaditas sobre papel encerado"".]"," [""azúcar"", ""jarabe de maíz blanco"", ""agua fría"", ""claras de huevo"", ""vainilla"", ""nueces""]"
74, Manzana crujiente," [""manzanas"", ""1/2 taza de azúcar"", ""1 cucharadita de canela"", ""1/4 taza de azúcar"", ""1 taza de harina"", ""una pizca de sal"", ""1/2 taza de maíz migas de escamas”, “1 barra de oleo”]","[""Mezclar 1/2 taza de azúcar y canela."", ""Untar sobre las manzanas."", ""Mezclar 1/4 taza de azúcar, harina, sal, hojuelas de maíz y oleo."", ""Untar la mezcla sobre las manzanas.""]"," [""manzanas"", ""azúcar"", ""canela"", ""azúcar"", ""harina"", ""sal"", ""copos de maíz rallado"", ""oleo""]"
75, Bolas De Salchicha," [""2 tazas de Bisquick"", ""1 libra de salchicha"", ""paquete de 8 onzas de queso cheddar, rallado""]"," [""Mezcle la salchicha y el queso"", ""Agregue Bisquick y mezcle bien"", ""Forme bolas medianas"", ""Hornee a 350\u00b0 durante 15 minutos o hasta que estén doradas"".]"," [""Bisquick"", ""salchicha"", ""queso cheddar""]"
76, Consomé De Pollo," [""trozos de pollo"", ""1 lata de crema de pollo"", ""1 lata de consomé"", ""2 c. de arroz"", ""sal al gusto"", ""pimienta al gusto""]","[""Agregue suficiente líquido a la sopa de pollo y al consomé para hacer 4 tazas de agua."", ""Sazone con sal y pimienta"", ""Cocine a 350\u00b0 durante 1 hora.""]"," [""pollo"", ""crema de pollo"", ""consomé"", ""arroz"", ""sal"", ""pimienta""]"
77, Hamburguesas Españolas," [""1/2 taza de apio"", ""2 cebollas picadas"", ""2 cucharadas de mantequilla"", ""1 libra de carne molida"", ""2 cucharadas de vinagre"", ""2 cucharadas de jugo de limón"", ""2 cucharadas. azúcar moreno"", ""1 1/2 cucharada de mostaza"", ""1 cucharadita de sal"", ""1 1/2 cucharadita de pimienta"", ""1 taza de salsa de tomate"", ""1 taza de agua""]"," [""Dore el apio, la cebolla y la carne molida en mantequilla."", ""Agregue vinagre, jugo de limón, azúcar moreno, mostaza, sal, salsa de tomate y agua. Cocine a fuego lento durante 30 minutos.""]","[""apio"", ""cebollas"", ""mantequilla"", ""carne molida"", ""vinagre"", ""jugo de limón"", ""azúcar moreno"", ""mostaza"", ""sal"", ""pimienta"", ""salsa de tomate"", ""agua ""]"
78, Sopa de huevo," [""2 latas (13 3/4 oz.) de caldo de pollo"", ""1 cucharada de maicena"", ""1 huevo bien batido"", ""2 cucharadas de cebolla verde en rodajas (1/4 de pulgada)""]"," [""En una cacerola, agregue lentamente el caldo de pollo a la maicena. Cocine, revolviendo constantemente, hasta que espese un poco."", ""Vierta lentamente el huevo bien batido; revuelva una vez suavemente"", ""Retire del fuego. Adorne con cebolla verde en rodajas"". , ""Rinde 4 porciones"".]"," [""caldo de pollo"", ""maicena"", ""huevo"", ""cebolla verde""]"
79, La sidra caliente con especias," [""1/2 galón de jugo de manzana"", ""1 cucharadita de pimienta de Jamaica"", ""1 cucharadita de clavo entero"", ""1 rama de canela"", ""1 taza de azúcar moreno""]","[""Cocine a fuego lento todos los ingredientes"", ""Cuela en tazas calientes y cubre"", ""con"", ""a"", ""un chorrito de nuez moscada"", ""Esta receta se puede duplicar muchas veces, según el número de invitados presentes"". .""]"," [""zumo de manzana"", ""pimienta de Jamaica"", ""clavo entero"", ""canela"", ""azúcar moreno""]"
80, Pollo Con Sésamo Y Jengibre," [""1 cucharada de semillas de sésamo tostadas"", ""2 cucharaditas de jengibre rallado"", ""2 cucharadas de miel"", ""2 cucharadas de salsa de soja reducida en sodio"", ""4 (4 oz) mitades de pechuga de pollo sin piel"", ""spray vegetal para cocinar"", ""tiras finas de cebolla verde""]","[""Combine los primeros 4 ingredientes en un tazón pequeño, revuelva bien y reserve."", ""Coloque el pollo entre 2 hojas de papel encerado o envoltura de plástico resistente y aplánelo hasta que tenga un grosor de 1/4 de pulgada, usando un mazo para carne o un rodillo. ."", ""Cubra la rejilla de la parrilla con aceite en aerosol; colóquela sobre la parrilla sobre las brasas."", ""Coloque el pollo en la rejilla y cocínelo durante 4 minutos por cada lado, rociándolo frecuentemente con la mezcla de salsa de soja."", ""Transfiera el pollo a una fuente para servir y decore. con cebolla verde, si lo desea."", ""Rinde 4 porciones, alrededor de 200 calorías.""]"," [""semillas de sésamo"", ""jengibre rallado"", ""miel"", ""salsa de soja"", ""pollo"", ""spray vegetal para cocinar"", ""tiras finas de cebolla verde""]"
81, Cazuela De Huevos,"[""1 cebolla Vidalia, picada"", ""1 paquete (16 oz.) de champiñones frescos"", ""2 pimientos verdes"", ""1 diente de ajo"", ""aceite de oliva"", ""6 piezas de pan (untado con mantequilla o margarina). )"", ""6 huevos"", ""leche (tanto como quieras; para esponjar los huevos)""]"," [""Saltee juntos los primeros 5\tingredientes."", ""En un molde aparte de 9 x 12 pulgadas, mezcle el pan, los huevos"", ""y"", ""leche."", ""Ponga"", ""trozos de pan en"", ""pan ; agregue sus"", ""verduras"", ""luego"", ""sus"", ""huevos"", ""Coloque\lata en el refrigerador durante la noche (al menos 8 horas).\tAgregue queso cheddar antes de cocinar."", ""Hornee a 350\ u00b0 durante 1 hora.""]"," [“cebolla Vidalia”, “champiñones frescos”, “pimiento verde”, “diente de ajo”, “aceite de oliva”, “pan”, “huevos”, “leche”]"
82," Ensalada de arándanos, manzana y naranja","[""1 bolsa (12 oz.) de arándanos crudos (2 tazas)"", ""1 taza de azúcar"", ""1 manzana mediana, pelada, sin corazón y cortada en gajos"", ""1 naranja, pelada, sin semillas y partida en gajos "", ""1 paquete (3 oz) de gelatina de naranja"", ""1/2 taza de nueces (opcional)""]"," [""En un procesador de alimentos o licuadora, muele los arándanos, la manzana y la naranja."", ""Mezclar con el azúcar y reservar"", ""Preparar la gelatina según las instrucciones del paquete, usando 1/4 taza menos de agua fría"", ""Enfriar hasta comienza a espesarse."", ""Agregue la mezcla de arándanos y nueces"", ""Mezcle bien"", ""Vierta en un molde, si lo desea, o déjelo en un tazón y revuelva antes de servir"", ""Enfríe hasta que cuaje""., ""Incluso se puede preparar con un día de anticipación. Se conserva bien en el refrigerador durante unos días"".]"," [""arándanos"", ""azúcar"", ""manzana"", ""naranja"", ""gelatina de naranja"", ""nueces""]"
83, Arroz Integral,"[""1 taza de arroz crudo"", ""1 lata de consomé de carne"", ""1 lata de sopa de cebolla francesa"", ""1 lata (4 oz) de champiñones"", ""1/2 barra de margarina, cortada""]"," [""Colocar en un plato tapado de 1 1/2 cuarto."", ""Hornear 1 hora a 350\u00b0.""]"," [""arroz"", ""consomé de ternera"", ""sopa de cebolla"", ""champiñones"", ""margarina""]"
84, Ensalada de arándanos," [""2 paquetes (3 oz) de queso crema ablandado"", ""2 cucharadas de margarina"", ""2 cucharadas de azúcar"", ""1 lata (16 oz) de salsa de arándanos enteros"", ""3/4 taza triturada piña, escurrida"", ""1/2 taza de nueces picadas"", ""1 taza de crema para batir""]"," [""Mezclar queso crema, margarina y azúcar."", ""Agregar fruta y nueces. Batir la crema e incorporar a la mezcla de fruta y queso crema."", ""Vierta en un molde redondo"", ""Congelar 6 horas"", ""Retirar del molde"". poco antes de servir."", ""Rinde 12 porciones.""]","[""queso crema"", ""margarina"", ""azúcar"", ""salsa de arándanos"", ""piña"", ""nueces"", ""crema para batir""]"
85, Dip de queso," [""2 libras de queso Velveeta"", ""1 lata (15 oz.) de tomates italianos"", ""2 latas pequeñas de chiles verdes"", ""1/2 cebolla mediana, picada"", ""3 dientes de ajo"", ""1/2 cucharadita de sal""]"," [""Corte los tomates y los pimientos en cuadritos"", ""Combine todos los ingredientes a baño maría durante 30 minutos"", ""Sirva caliente sobre chips de maíz"".]"," [""Queso velveeta"", ""tomates italianos"", ""chiles verdes"", ""cebolla"", ""ajo"", ""sal""]"
86, Pastel de embudo,"[""1 1/3 taza de harina"", ""1 1/4 cucharadita de sal"", ""1/2 cucharadita de refresco"", ""2 cucharadas de azúcar"", ""3/4 cucharadas de levadura en polvo"", ""1 huevo , batida"", ""2/3 taza de leche (más si la masa está demasiado espesa)"", ""aceite (para freír)"", ""azúcar en polvo""]"," [""Tamiza los primeros 5 ingredientes en un tazón"", ""Mezcla el huevo y la leche; agrégalos a los ingredientes secos"", ""Batir hasta que quede suave"", ""Sostenga el dedo sobre el fondo de un embudo; vierta un poco de masa."", ""Retire el dedo para dejar caer la masa"", ""Deje caer la masa con un movimiento en espiral en una sartén llena con 1 pulgada de aceite caliente (375\u00b0)"", ""Fríe hasta que esté dorada, volteándola una vez"", ""Retire de la sartén; escurrir sobre una toalla de papel."", ""Espolvorear con azúcar en polvo y servir caliente.""]"," [""harina"", ""sal"", ""soda"", ""azúcar"", ""levadura en polvo"", ""huevo"", ""leche"", ""aceite"", ""azúcar en polvo""]"
87,Fudge rápido y muy bueno," [""4 libras de azúcar glass"", ""1 taza de cacao"", ""1 taza de nueces picadas"", ""1 libra de margarina (sin batir)"", ""1 libra de Velveeta"", ""1 cucharada de vainilla""]"," [""En un tazón grande, ponga el azúcar glass, el cacao y las nueces picadas."", ""En una cacerola, ponga la margarina y Velveeta."", ""Derrita y agregue la vainilla"", ""Vierta la mezcla caliente sobre la mezcla de azúcar"", ""Mezcle rápidamente y vierta en una bandeja para hornear galletas untada con mantequilla."", ""Deje enfriar y córtelo en cuadritos"".]"," [""azúcar glas"", ""cacao"", ""nueces"", ""margarina"", ""Velveeta"", ""vainilla""]"
88, Cazuela De Calabaza," [""3 libras de calabaza"", ""3 cebollas"", ""1 pt. de crema agria"", ""3 zanahorias ralladas"", ""2 latas de sopa de pollo o champiñones"", ""1 paquete de mezcla para relleno Pepperidge Farm"", ""1 barra mantequilla"", ""sal y pimienta al gusto""]","[""Cocine la calabaza, las cebollas y las zanahorias hasta que estén tiernas"", ""Triture"", ""Derrita la mantequilla en una sartén; agregue el relleno hasta que todo esté cubierto"", ""Escurra toda el agua de la calabaza"", ""Agregue la crema agria y la sopa"". ."", ""Colocar en una fuente para horno engrasada una capa de calabaza y una capa de relleno. Hornear a 350\u00b0 durante 35 minutos.""]"," [""calabaza"", ""cebolla"", ""crema agria"", ""zanahorias"", ""pollo"", ""mezcla para relleno"", ""mantequilla"", ""sal""]"
89, Bola de queso," [""2 paquetes de queso crema"", ""2 tazas de queso cheddar rallado (8 oz)"", ""1 cucharada de pimiento picado"", ""1 cucharada de pimiento verde picado"", ""1 cucharada de cebolla picada"", ""1 cucharadita de jugo de limón"", ""2 cucharaditas de salsa inglesa"", ""un chorrito de salsa Tabasco"", ""un chorrito de sal""]","[""Combine la crema blanda y los quesos Cheddar"", ""Agregue los elementos picados"", ""Mezcle y agregue los líquidos al final"", ""Mezcle bien"", ""Enrolle hasta formar una bola y cubra con nueces picadas"".]"," [""queso crema"", ""queso cheddar"", ""pimento"", ""pimiento verde"", ""cebolla"", ""jugo de limón"", ""salsa inglesa"", ""salsa tabasco"", ""sal""]"
90, *Ensalada de albaricoque," [""1 paquete grande de gelatina de albaricoque (6 oz.)"", ""2/3 taza de azúcar"", ""1 paquete (8 oz.) de queso crema"", ""2 frascos de albaricoques para papilla Junior"", ""1 (No . 2) lata de piña triturada (20 oz.)”, “1 lata alta de leche evaporada, fría y batida”, “2/3 c. de agua”]","[""Disuelva la gelatina en agua hirviendo; agregue azúcar"", ""mezcle el queso crema con un tenedor"", ""agregue la lata de papilla triturada de piña y albaricoque"", ""refrigere"", ""enfríe la lata de leche"". , ""Cuando la gelatina comience a cuajar, saque la leche del refrigerador y bata hasta que esté firme."", ""Incorpore la gelatina parcialmente cuajada a la crema."", ""Se pueden usar nueces picadas para decorar"", ""Esta es una ensalada grande; podría llene un molde de 2 cuartos o 2 moldes (de 1 cuarto)."", ""Sirve alrededor de 12.""]"," [""gelatina de albaricoque"", ""azúcar"", ""queso crema"", ""tarros de papilla Junior"", ""piña"", ""leche"", ""agua""]"
91, Bizcocho,"[""3 tazas de harina común (se puede sustituir la harina común por harina para pasteles)"", ""3 tazas de azúcar"", ""1/2 cucharadita de levadura en polvo"", ""3 pizcas de sal"", ""5 huevos"", ""2 barras de margarina"", ""1/2 taza de mantequilla sabor Crisco"", ""1 taza de dulce de leche"", ""1 a 2 cucharadas de saborizante (limón, vainilla o almendra o una combinación de los 3)""]"," [""Tenga todos los ingredientes a temperatura ambiente. Revuelva a mano todos los ingredientes secos. Agregue los huevos y revuelva. Agregue la mantequilla y Crisco y revuelva. Agregue la leche y revuelva. Coloque la masa en"", ""batidora y bata a alta velocidad hasta que esté bien mezclado. Agregue 1 a 2 cucharaditas de su sabor favorito y mezcle bien. Vierta la masa en un molde tubular engrasado y enharinado. Colóquelo en el horno frío. Hornee a 325\u00b0 durante 1 hora y 20 a 30 minutos.""]"," [""harina"", ""azúcar"", ""levadura en polvo"", ""sal"", ""huevos"", ""margarina"", ""mantequilla"", ""leche dulce"", ""vainilla""]"
92, pan de mono,"[""2 hogazas de pan congelado, ablandado"", ""1/2 taza de margarina"", ""1 taza de azúcar moreno"", ""1 caja grande de pudín de vainilla (no instantáneo)"", ""2 cucharadas de leche"", ""canela al gusto ""]"," [""Use un molde engrasado de 9 x 13 pulgadas o un molde Bundt."", ""Derrita la mantequilla; agregue el azúcar moreno, el pudín, la leche y la canela."", ""Divida 1 pan en bolas redondas; colóquelas en el molde."", ""Vierta la mezcla ""Levantar de 2 1/2 a 3 horas"", ""Hornear 30 minutos a 350\u00b0; desmoldar inmediatamente para que se enfríe.""]"," [""pan"", ""margarina"", ""azúcar moreno"", ""pudín de vainilla"", ""leche"", ""canela""]"
93, Rollitos De Pollo," [""1 lata (8 oz.) de panecillos en forma de media luna"", ""1 1/2 taza de queso rallado mediano o fuerte"", ""1 gallina, cocida y cortada en cubitos"", ""1 lata de crema de pollo"", ""1 1/2 c. leche""]","[""Desenrolle los panecillos en forma de media luna; agregue el pollo cocido y el queso rallado. Envuelva el rollo sobre el pollo y el queso; junte los lados.""]"," [""rollitos de media luna"", ""queso"", ""gallina"", ""crema de pollo"", ""leche""]"
94, Cazuela De Ternera Y Arroz Español," [""1 lata de arroz español"", ""1 lata de carne en conserva"", ""1 cebolla picada"", ""1/2 taza de queso cheddar rallado""]"," [""Rocíe una cacerola de 1 cuarto con Pam."", ""Coloque arroz y carne, cebolla picada y queso rallado."", ""Hornee a 350\u00b0 durante 25 a 30 minutos"".]"," [""arroz español"", ""carne en conserva"", ""cebolla"", ""queso cheddar""]"
95, Frijoles Horneados,"[""3 latas (1 libra) de carne de cerdo y frijoles"", ""1/2 taza de pimiento morrón picado"", ""1/2 taza de cebolla picada"", ""3/4 taza de salsa de tomate"", ""1/3 c. azúcar morena, compacta"", ""1 cucharadita de sal"", ""1/3 cucharadita de pimienta negra"", ""1 libra de carne molida"", ""1 cucharada de aceite""]"," [""Cocine las cebollas y el pimiento morrón en aceite hasta que las cebollas estén transparentes"", ""Agregue la carne y cocine hasta que se dore"", ""Mezcle todos los ingredientes"", ""Hornee en el horno a 350\u00b0 durante 45 minutos, o después de mezclarlos, vierta en una olla de barro y cocine de 6 a 10 horas a temperatura baja.""]"," [""cerdo"", ""pimiento morrón"", ""cebollas"", ""salsa de tomate"", ""azúcar moreno"", ""sal"", ""pimienta negra"", ""carne molida"", ""aceite""]"
96, Pollo agridulce,"[""2 tazas de pollo cocido cortado en cubitos"", ""2 cucharadas de manteca vegetal"", ""1/2 taza de cebolla (trozos grandes)"", ""2 tazas de trozos de zanahoria"", ""1 1/4 taza de agua"", ""3 cubitos de caldo de pollo"", ""1/4 taza de azúcar morena"", ""2 cucharadas de maicena"", ""1/4 cucharadita de jengibre"", ""1/4 taza de salsa de tomate"", ""2 cucharadas de vinagre"", ""1 Cucharada de salsa de soja"", ""1 taza de pimiento verde (trozos grandes)"", ""8 oz de trozos de piña""]"," [""Sofríe la cebolla en 2 cucharadas de manteca vegetal"", ""Agrega las zanahorias, el agua y los cubitos de caldo"", ""Cocine a fuego lento durante 5 minutos"", ""Combine los siguientes 6 ingredientes"", ""Agregue a la mezcla de verduras y cocine hasta que esté transparente"", "" Agregue pimienta, piña y pollo."", ""Cubra y cocine a fuego lento durante 5 minutos o hasta que esté completamente caliente."", ""Sirva con arroz o fideos cabello de ángel. Sirve para 6 personas.""]","[""pollo"", ""manteca vegetal"", ""cebolla"", ""trozos de zanahoria"", ""agua"", ""pollo"", ""azúcar moreno"", ""maicena"", ""jengibre"", ""catsup"", ""vinagre"", ""salsa de soja "", ""pimiento verde"", ""piña""]"
97, Ambrosía," [""8 a 10 naranjas jugosas, peladas y cortadas en cubitos"", ""1 taza de coco húmedo"", ""1/2 taza de nueces pecanas picadas"", ""1/2 taza de cerezas cortadas por la mitad"", ""1/4 taza de azúcar "", ""1 taza de jugo de naranja""]"," [""Combine todos los ingredientes. Enfríe durante la noche"", ""Rinde de 4 a 6 porciones"".]"," [""naranjas"", ""coco húmedo"", ""nueces"", ""cerezas"", ""azúcar"", ""jugo de naranja""]"
98, Galletas locas de mantequilla de maní," [""1 taza de mantequilla de maní cremosa"", ""1 taza de azúcar"", ""1 huevo""]","[""Mezclar y formar bolas; aplanar con un tenedor"", ""Hornear en una bandeja para hornear sin engrasar"", ""Rinde 2 docenas"", ""Rápido, fácil y bueno"".]"," [""mantequilla de maní"", ""azúcar"", ""huevo""]"
99, Barras de ladrillo," [""1 caja de mezcla para pastel amarillo"", ""2 huevos"", ""1/3 taza de margarina blanda"", ""1 lata de leche Eagle Brand"", ""1 taza de nueces pecanas"", ""1/2 taza de Bits 'O Brickle"" ]"," [""Mezclar con un tenedor:"", ""mezcla para pastel, 1 huevo y margarina. Presionar en un molde de 13 x 9 pulgadas"", ""A continuación mezcle la leche Eagle Brand, 1 huevo, nueces y Bits 'O Brickle"". ""Vierta sobre la mezcla para pastel."", ""Hornee 30 minutos a 350\u00b0."", ""Deje enfriar y corte en barras"".]"," [""mezcla para pastel amarillo"", ""huevos"", ""margarina"", ""leche"", ""nueces""]"
100, Panqueques,"[""1 taza de harina"", ""1 cucharadita de refresco"", ""1 cucharadita de sal"", ""1 cucharada de azúcar"", ""1 huevo"", ""3 cucharadas de margarina derretida"", ""1 taza de suero de leche""]"," [""Mezcle los ingredientes secos"", ""Agregue el huevo, la margarina y el suero de leche. Revuelva con la mano hasta que estén bien mezclados"", ""Vierta en una sartén o plancha antiadherente con un poco de aceite"", ""Cocine hasta que burbujee y déle la vuelta. ""]"," [""harina"", ""refresco"", ""sal"", ""azúcar"", ""huevo"", ""margarina"", ""suero de leche""]"
101, Pastel de jamón y verduras sin corteza,"[""1/4 taza de mantequilla"", ""1/4 libra de champiñones rebanados"", ""1 diente de ajo picado"", ""1 calabacín mediano, rebanado fino"", ""1/4 taza de cebolla picada"", ""1 c. jamón cocido cortado en cubitos"", ""4 huevos"", ""2 tazas de queso ricotta"", ""1 taza de Monterey Jack rallado"", ""1 paquete (10 oz) de espinacas congeladas, descongeladas y escurridas"", ""1/ 2 cucharaditas de eneldo"", ""sal y pimienta""]"," [""Precaliente el horno a 325\u00b0."", ""En una sartén grande, derrita la mantequilla y saltee los champiñones, el ajo, la cebolla y el calabacín hasta que estén tiernos, aproximadamente 2 minutos"", ""Agregue el jamón y cocine 1 minuto más; reserve"". ]"," [""mantequilla"", ""champiñones"", ""ajo"", ""calabacín"", ""cebolla"", ""huevos"", ""queso ricotta"", ""Monterrey Jack rallado"", ""espinacas congeladas"", ""eneldo"", ""sal""]"
102, Repollo rojo y manzanas,"[""1 taza de repollo rojo, finamente picado"", ""2 cucharadas de mantequilla"", ""2 manzanas, finamente rebanadas"", ""1 cucharada de azúcar moreno"", ""1 cucharada de vinagre""]"," [""En una cacerola llena de agua hirviendo ligeramente salada, cocine la col lombarda durante 5 minutos; luego escúrrala.""]"," [""col lombarda"", ""mantequilla"", ""manzanas"", ""azúcar moreno"", ""vinagre""]"
103, Ensalada alemana de patata," [""4 libras de papas cocidas"", ""6 rebanadas de tocino cortado en cubitos"", ""1/2 taza de azúcar"", ""3 cucharadas de harina"", ""2 cucharaditas de sal"", ""1/4 cucharadita de pimienta"", ""1 taza de vinagre de sidra"", ""1 taza de agua"", ""4 cebollas verdes, en rodajas""]","[""Pele y corte las papas en rodajas finas"", ""Fríe el tocino hasta que esté crujiente. Retire el tocino de la grasa y reserve 1/2 taza de la grasa para hacer el aderezo"", ""Mezcle el azúcar, la harina, la sal y la pimienta"", ""Revuelva con grasa de tocino para hacer una pasta suave"", ""Agregue vinagre y agua"", ""Herva de 2 a 3 minutos"", ""Combine la salsa, las papas y las cebollas en una sartén"", ""Apague la sartén"", ""Cubra con una toalla (sin tapa) y dejar reposar a temperatura ambiente 3 o 4 horas."", ""Espolvorear con tocino.""]"," [""patatas"", ""tocino"", ""azúcar"", ""harina"", ""sal"", ""pimienta"", ""vinagre de sidra"", ""agua"", ""cebollas verdes""]"
104, Sopa de invierno de Jan,"[""2 cucharadas de mantequilla"", ""2 cebollas medianas picadas"", ""1 libra de carne molida o pavo"", ""1 diente de ajo picado"", ""3 tazas de caldo de carne o pollo"", ""1 (28 oz. ) lata de tomates picados"", ""1 taza de patatas cortadas en cubitos"", ""3 zanahorias picadas"", ""1 taza de apio picado"", ""1 taza de judías verdes congeladas"", ""1 taza de vino tinto seco"", "" 1/2 cucharadita de albahaca"", ""1/4 cucharadita de tomillo"", ""sal y pimienta al gusto""]"," [""Sofríe las cebollas y el ajo en mantequilla hasta que estén tiernos. Agrega la carne y dora. Escurre bien. Añade el resto de los ingredientes y cocina a fuego lento durante al menos una hora"".]"," [""mantequilla"", ""cebollas"", ""carne molida"", ""diente de ajo"", ""carne de res"", ""tomates"", ""patatas"", ""zanahorias"", ""apio"", ""judías verdes congeladas"", ""vino tinto"", ""albahaca"", ""tomillo"", ""sal""]"
105, Té de especias para microondas,"[""1 frasco de Tang (1 libra y 2 onzas), ""1 paquete de limonada Kool Aid con azúcar agregada"", ""2 tazas de azúcar"", ""1 cucharadita de clavo molido"", ""2 cucharaditas de canela"", "" 1/2 taza de té instantáneo""]"," [""Mezcle todos los ingredientes y guárdelos en un recipiente hermético. Cuando esté listo para servir, caliente 1 taza de agua en el microondas hasta que hierva. Agregue 3 cucharaditas colmadas"", ""Mezcle con agua y revuelva bien"", ""Excelente para el frío invernal y para tranquilízate.""]"," [""azúcar"", ""azúcar"", ""clavo molido"", ""canela"", ""té instantáneo""]"
