Unnamed: 0,Título,Ingredientes,Preparacion,NER,Imagen
69,Pastel de Chocolate Esponjoso,"2 tazas de harina tamizada&1 1/2 cucharaditas de bicarbonato de sodio&1/4 de cucharadita de sal&1/2 taza de manteca o margarina&1 1/2 tazas de azúcar&2 huevos, separados&1/2 taza de cacao&agua&1 cucharadita de vainilla&1 taza de leche","Tamiza juntas la harina, el bicarbonato de sodio y la sal; reserva.&Combina la manteca y el azúcar en un bol.&Bate hasta que esté cremoso.&Añade las yemas de huevo; bate bien.&Combina el cacao, el agua y la vainilla para hacer 1 taza; mezcla bien.&Añade a la mezcla.&Agrega la mezcla de harina alternando con la leche.&Bate bien después de cada adición; reserva.&Bate las claras de huevo hasta que se formen picos rígidos cuando se levanta el batidor.&Incorpora a la mezcla.&Hornea en dos moldes para pasteles de 9 pulgadas engrasados a 375°F durante 30 minutos.",harina&bicarbonato de sodio&sal&manteca&azúcar&huevos&cacao&agua&vainilla&leche,https://i.pinimg.com/564x/54/61/1b/54611bc57bc90d85726deaf033056db6.jpg
70,Pastel de la Guerra Civil de Dot,"3 manzanas medianas, picadas&2 tazas de pasas&1 taza de azúcar moreno&1 taza de azúcar granulada&2 cucharadas de manteca&2 tazas de agua fría&3 tazas de harina&2 cucharaditas de bicarbonato de sodio&1 cucharadita de canela&1 cucharadita de nuez moscada&1 cucharadita de clavos&1 cucharadita de sal&1 taza de nueces",Combina y cocina los primeros 6 ingredientes.&Lleva a ebullición y hierve durante 5 minutos; enfría.&Añade los ingredientes secos tamizados a la mezcla de manzana. Revuelve y mezcla solo.&Añade las nueces.&Vierte en un molde para pastel engrasado y enharinado.&Hornea 1 hora a 350°F.&Rinde 16 porciones.,manzanas&pasas&azúcar moreno&azúcar&manteca&agua fría&harina&bicarbonato de sodio&canela&nuez moscada&clavos&sal&nueces,https://i.blogs.es/5dfa8c/istock-1194342936/1366_2000.jpeg
71,Cazuela de Patatas,6 tazas de patatas en cubos&1/2 taza de cebolla picada&3/4 taza de mantequilla derretida&1 lata de crema de pollo&1 paquete de crema agria (8 oz.)&1 taza de queso Cheddar rallado&2 tazas de copos de maíz triturados,"Pela y corta las patatas; colócalas en un bol con agua fría y sal. Escurre las patatas y sécalas con toallas de papel.&Mezcla 1/2 taza de mantequilla, cebolla, crema de pollo, crema agria y queso; revuelve bien.&Añade las patatas a la mezcla y vierte todo en una cazuela de 2 1/2 cuartos.&Tritura los copos de maíz y mézclalos con la mantequilla restante.&Espolvorea los copos de maíz y la mantequilla sobre las patatas.&Hornea a 350°F durante 50 minutos.",patatas&cebolla&mantequilla&crema de pollo&crema agria&queso Cheddar&copos de maíz,https://i.pinimg.com/564x/4c/c5/e4/4cc5e4495251dc9524cb0d1bf579df05.jpg
72,Pastel de Sueños,galletas de vainilla&mantequilla,Mezcla las migajas de galletas de vainilla con la mantequilla.,galletas de vainilla&mantequilla,https://img-global.cpcdn.com/recipes/0e3476d6b4d6cfe3/680x482cq70/drommekage-una-torta-de-ensuenos-dinamarca-foto-principal.jpg
73,Divinidad de Chocolate,2 2/3 tazas de azúcar&2/3 taza de jarabe de maíz blanco (Karo)&2/3 taza de agua fría&2 claras de huevo batidas a punto de nieve&1 cucharadita de vainilla&1 taza de nueces picadas,"Mezcla bien el azúcar, el jarabe y el agua.&Deja hervir sin remover hasta que forme una bola dura en agua fría.&Vierte esto sobre las claras de huevo batidas a punto de nieve, batiendo constantemente.&Deja enfriar; añade la vainilla y las nueces.&Bate hasta que esté frío y espeso y pueda verterse. Vierte en una bandeja con mantequilla o deja caer cucharadas en papel encerado.",azúcar&jarabe de maíz blanco&agua fría&claras de huevo&vainilla&nueces,https://canalcocina.es/medias/images/1612LaReposteriaDeAnnaOlsonT4DulcesDivinityChocolate.jpg
74,Crujiente de Manzana,manzanas&1/2 taza de azúcar&1 cucharadita de canela&1/4 de taza de azúcar&1 taza de harina&pizca de sal&1/2 taza de migas de hojuelas de maíz&1 barra de margarina,"Mezcla 1/2 taza de azúcar y canela.&Espárcelo sobre las manzanas.&Mezcla 1/4 de taza de azúcar, harina, sal, migas de hojuelas de maíz y margarina.&Extiende esta mezcla sobre las manzanas.",manzanas&azúcar&canela&azúcar&harina&sal&migas de hojuelas de maíz&margarina,https://i.pinimg.com/564x/7d/b6/e0/7db6e0e5f748cf5c44725d65f97644dc.jpg
75,Bolitas de Salchicha,2 tazas de Bisquick&1 lb. de salchicha&1 paquete de queso Cheddar rallado (8 oz.),Mezcla la salchicha y el queso.&Añade el Bisquick y mezcla bien.&Forma bolitas de tamaño mediano.&Hornea a 350°F durante 15 minutos o hasta que estén doradas.,Bisquick&salchicha&queso Cheddar,https://mojo.generalmills.com/api/public/content/QLEskcaRNEe9sMfyYkn5Pg_gmi_hi_res_jpeg.jpeg?v=5008de09&t=16e3ce250f244648bef28c5949fb99ff
76,Consomé de Pollo,piezas de pollo&1 lata de crema de pollo&1 lata de consomé&2 tazas de arroz&sal al gusto&pimienta al gusto,Añade suficiente líquido a la crema de pollo y el consomé para hacer 4 tazas de agua.&Sazona con sal y pimienta.&Cocina a 350°F durante 1 hora.,pollo&crema de pollo&consomé&arroz&sal&pimienta,https://i.pinimg.com/564x/c1/1d/98/c11d985f75db60b8c66a54fd94b87f60.jpg
77,Hamburguesas Españolas,1/2 taza de apio&2 cebollas picadas&2 cucharadas de mantequilla&1 lb. de carne de res molida&2 cucharadas de vinagre&2 cucharadas de jugo de limón&2 cucharadas de azúcar moreno&1 1/2 cucharadas de mostaza&1 cucharadita de sal&1 1/2 cucharaditas de pimienta&1 taza de salsa de tomate&1 taza de agua,"Dora el apio, las cebollas y la carne de res en la mantequilla.&Añade el vinagre, el jugo de limón, el azúcar moreno, la mostaza, la sal, la pimienta, la salsa de tomate y el agua. Cocina a fuego lento durante 30 minutos.",apio&cebollas&mantequilla&carne de res&vinagre&jugo de limón&azúcar moreno&mostaza&sal&pimienta&salsa de tomate&agua,https://i.pinimg.com/564x/60/fc/2b/60fc2b9d51afec8b472e868272c622fe.jpg
78,Sopa de Huevo Revuelto,2 latas (13 3/4 oz.) de caldo de pollo&1 cucharada de maicena&1 huevo batido&2 cucharadas de cebolla verde en rodajas finas,"En una cacerola, revuelve lentamente el caldo de pollo con la maicena. Cocina, revolviendo constantemente, hasta que espese ligeramente.&Vierte lentamente el huevo batido; revuelve una vez con suavidad.&Retira del fuego. Adorna con rodajas finas de cebolla verde.&Rinde 4 porciones.",caldo de pollo&maicena&huevo&cebolla verde,https://i.pinimg.com/564x/eb/01/d4/eb01d43370a7e9a5f098ef8dc0dcf1f2.jpg
79,Cidra Caliente Especiada,1/2 galón de jugo de manzana&1 cucharadita de pimienta de Jamaica&1 cucharadita de clavos enteros&1 rama de canela&1 taza de azúcar moreno,Hierve todos los ingredientes.&Cuela en tazas precalentadas y espolvorea con un poco de nuez moscada.&Esta receta se puede duplicar según el número de invitados presentes.,jugo de manzana&pimienta de Jamaica&clavos enteros&canela&azúcar moreno,https://okdiario.com/img/2016/12/29/receta-de-sidra-caliente-con-especias-2-620x372.jpg
80,Pollo con Sésamo y Jengibre,1 cucharada de semillas de sésamo tostadas&2 cucharaditas de jengibre rallado&2 cucharadas de miel&2 cucharadas de salsa de soja reducida en sodio&4 pechugas de pollo deshuesadas y sin piel&spray de cocina vegetal&tiras finas de cebolla verde,"Combina las primeras 4 ingredientes en un bol pequeño, revuelve bien y reserva.&Coloca el pollo entre 2 hojas de papel encerado o plástico resistente.&Aplánalo hasta que tenga 1/4 de pulgada de grosor, usando un mazo de carne o rodillo.&Rocía la rejilla de la parrilla con spray de cocina.&Coloca el pollo en la rejilla y cocina durante 4 minutos por cada lado, bañando con frecuencia con la mezcla de salsa de soja.&Transfiere el pollo a una fuente para servir y adorna con las tiras de cebolla verde, si lo deseas.&Rinde 4 porciones, aproximadamente 200 calorías.",semillas de sésamo tostadas&jengibre rallado&miel&salsa de soja&pechugas de pollo&spray de cocina vegetal&tiras finas de cebolla verde,https://i.pinimg.com/564x/0e/e0/96/0ee09619c6d37cdfcfd0077549f24b41.jpg
81,Pastel de Huevo,"1 cebolla Vidalia, picada&1 paquete grande (16 oz.) de champiñones frescos&2 pimientos verdes&1 diente de ajo&aceite de oliva&6 rebanadas de pan (untadas con mantequilla o margarina)&6 huevos&leche (la cantidad que desees para esponjar los huevos)","Sofría juntos los primeros 5 ingredientes.&En un molde separado de 9 x 12 pulgadas, mezcle el pan, los huevos&y&la leche.&Coloque las rebanadas de pan en el&molde; agregue sus&vegetales,&luego&sus&huevos.&Coloque en el refrigerador durante la noche (al menos 8 horas).\tAgregue queso Cheddar antes de cocinar.&Hornee a 350 °F durante 1 hora.",cebolla Vidalia&champiñones frescos&pimientos verdes&diente de ajo&aceite de oliva&pan&huevos&leche,https://i.pinimg.com/564x/93/ab/71/93ab71ef533feaf8f7d7e54f30fc1521.jpg
82,Ensalada de Arándanos-Manzana-Naranja,"1 paquete de arándanos crudos (12 oz.) (2 tazas)&1 taza de azúcar&1 manzana mediana, pelada, desinfectada y cortada en gajos&1 naranja, pelada, sin semillas y desgajada&1 paquete de gelatina de naranja (3 oz.)&1/2 taza de nueces (opcional)","En una procesadora de alimentos o licuadora, muela los arándanos, manzana y naranja.&Mezcle con el azúcar y reserve.&Prepare la gelatina según las indicaciones del paquete, utilizando 1/4 de taza menos de agua fría.&Enfríe hasta que comience a espesar.&Agregue la mezcla de arándanos y las nueces.&Mezcle bien.&Viértalo en un molde, si lo desea, o déjelo en un tazón y revuelva antes de servir.&Enfríe hasta que se endurezca.&Incluso se puede hacer con un día de anticipación. Se mantiene bien en el refrigerador durante unos días.",arándanos&azúcar&manzana&naranja&gelatina de naranja&nueces,https://i.pinimg.com/564x/05/2d/29/052d299d9b8e8af09bfaac293790636a.jpg
83,Arroz Integral,"1 taza de arroz crudo&1 lata de consomé de res&1 lata de sopa de cebolla francesa&1 lata de champiñones (4 oz.)&1/2 barrita de margarina, cortada",Coloque en una fuente de 1 1/2 cuartos con tapa.&Hornee 1 hora a 350 °F.,arroz&consomé de res&sopa de cebolla francesa&champiñones&margarina,https://i.pinimg.com/564x/fc/51/25/fc512591657aebf825d2ff876d2c93ee.jpg
84,Ensalada de Arándanos,"2 paquetes de queso crema ablandado (3 oz.)&2 cucharadas de margarina&2 cucharadas de azúcar&1 lata de salsa de arándanos enteros (16 oz.)&3/4 taza de piña triturada, escurrida&1/2 taza de nueces picadas&1 taza de crema batida","Mezcle el queso crema, la margarina y el azúcar.&Agregue la fruta y las nueces. Bata la crema y mézclela con la fruta y la mezcla de queso crema.&Viértalo en un molde redondo.&Congele durante 6 horas.&Sáquelo del molde poco antes de servir.&Rinde 12 porciones.",queso crema&margarina&azúcar&salsa de arándanos&piña&nueces&crema batida,https://i.pinimg.com/564x/df/be/52/dfbe52715e547e28e1bc5755b0c6b4b6.jpg
85,Dip de Queso,"2 libras de queso Velveeta&1 lata de tomates italianos (15 oz.)&2 latas pequeñas de chiles verdes&1/2 cebolla mediana, picada&3 dientes de ajo&1/2 cucharadita de sal",Corte los tomates y los chiles.&Combine todos los ingredientes en la parte superior de una caldera doble durante 30 minutos.&Sírvalo caliente sobre chips de maíz.,queso Velveeta&tomates italianos&chiles verdes&cebolla&ajo&sal,https://i.pinimg.com/564x/dd/94/1a/dd941a9a0508dc7daf4ad9a28a27151c.jpg
86,Rosquillas Funnel,"1 1/3 tazas de harina&1 1/4 cucharaditas de sal&1/2 cucharadita de bicarbonato de sodio&2 cucharadas de azúcar&3/4 cucharadas de polvo para hornear&1 huevo, batido&2/3 taza de leche (más si la masa está muy espesa)&aceite (para freír)&azúcar en polvo","Cernir los primeros 5 ingredientes juntos en un tazón.&Mezclar el huevo y la leche; agregar a los ingredientes secos.&Batir hasta que quede suave.&Coloque el dedo en el fondo de un embudo; vierta la masa.&Quite el dedo para que la masa caiga.&Coloque la masa en un movimiento en espiral en una sartén con 1 pulgada de aceite caliente (375 °F).&Fría hasta que estén dorados, dándoles la vuelta una vez.&Sáquelos de la sartén; escúrralos en una toalla de papel.&Espolvoree con azúcar en polvo y sírvalos calientes.",harina&sal&bicarbonato de sodio&azúcar&polvo para hornear&huevo&leche&aceite&azúcar en polvo,https://i.pinimg.com/564x/2e/da/c2/2edac2c9dcf63c44be8447194834f54b.jpg
87,Fudge de Crema de Chocolate,4 libras de azúcar glas&1 taza de cacao&1 taza de nueces picadas&1 libra de margarina (no batida)&1 libra de queso Velveeta&1 cucharada de vainilla,"En un tazón grande, coloque el azúcar glas, el cacao y las nueces picadas.&En una cacerola, coloque la margarina y el queso Velveeta.&Derrita y agregue la vainilla.&Vierta la mezcla caliente sobre la mezcla de azúcar.&Mezcle rápidamente y vierta en una fuente para galletas untada con mantequilla.&Deje enfriar y corte en cuadros.",azúcar glas&cacao&nueces&margarina&queso Velveeta&vainilla,https://i.pinimg.com/564x/df/f4/64/dff464bfc6aff8a0853a924db3284c4c.jpg
88,Pastel de Calabacín,"3 libras de calabacín&3 cebollas&1 pinta de crema agria&3 zanahorias, ralladas&2 latas de sopa de pollo o champiñones&1 paquete de mezcla para relleno Pepperidge Farm&1 barra de mantequilla&sal y pimienta al gusto","Cocine el calabacín, las cebollas y las zanahorias hasta que estén tiernos.&Haga puré.&Derrita la mantequilla en una sartén; mezcle con el relleno hasta que todo esté cubierto.&Escurra toda el agua del calabacín.&Agregue la crema agria y la sopa.&Coloque en una fuente para horno engrasada una capa de calabacín y una capa de relleno. Hornee a 350 °F durante 35 minutos.",calabacín&cebollas&crema agria&zanahorias&sopa de pollo&mezcla para relleno Pepperidge Farm&mantequilla&sal,https://i.pinimg.com/564x/ed/03/65/ed03659e63bb7b76b79114577bda2f30.jpg
89,Bola de Queso,2 paquetes de queso crema&2 tazas de queso Cheddar rallado (8 oz.)&1 cucharada de pimiento morrón picado&1 cucharada de pimiento verde picado&1 cucharada de cebolla picada&1 cucharadita de jugo de limón&2 cucharaditas de salsa Worcestershire&unas gotas de salsa Tabasco&unas gotas de sal,Combine el queso crema ablandado y el queso Cheddar.&Agregue los ingredientes picados.&Mezcle y agregue los líquidos al final.&Mezcle bien.&Forme una bola y cúbrala con nueces picadas.,queso crema&queso Cheddar&pimiento morrón&pimiento verde&cebolla&jugo de limón&salsa Worcestershire&salsa Tabasco&sal,https://i.pinimg.com/564x/1c/13/43/1c1343215535814529482a8ee02f53bf.jpg
90,*Ensalada de Albaricoque,"1 paquete grande de gelatina de albaricoque (6 oz.)&2/3 taza de azúcar&1 paquete grande de queso crema (8 oz.)&2 frascos de albaricoques de comida para bebé Junior&1 lata de piña triturada (No. 2) (20 oz.)&1 lata grande de leche evaporada, refrigerada y batida&2/3 taza de agua","Disuelva la gelatina en agua hirviendo; agregue el azúcar.&Mezcle el queso crema con un tenedor.&Agregue la lata de piña triturada y la comida para bebé de albaricoque.&Refrigere.&Refrigere la lata de leche.&Cuando la gelatina comience a cuajarse, saque la leche del refrigerador y bátala hasta que esté rígida.&Doble la gelatina parcialmente cuajada en la crema.&Se pueden usar nueces picadas como adorno.&Esta es una ensalada grande; podría llenar un molde de 2 cuartos o 2 moldes de 1 cuarto.&Rinde alrededor de 12 porciones.",gelatina de albaricoque&azúcar&queso crema&comida para bebé de albaricoque&piña&leche&agua,https://i.pinimg.com/564x/a7/17/81/a7178129d77db104fceccd7f3cc1896b.jpg
91,Pastel Libra,"3 tazas de harina común (se puede usar harina para pastel en lugar de harina común)&3 tazas de azúcar&1/2 cucharadita de polvo para hornear&3 pizcas de sal&5 huevos&2 barritas de margarina&1/2 taza de manteca de mantequilla&1 taza de leche dulce&1 a 2 cucharadas de saborizante (limón, vainilla o almendra o una combinación de los 3)",Tenga todos los ingredientes a temperatura ambiente. Revuelva a mano todos los ingredientes secos. Agregue los huevos y revuelva. Agregue la margarina y la manteca y revuelva. Agregue la leche y revuelva. Coloque la masa en&la batidora y bátala a alta velocidad hasta que quede bien mezclada. Agregue 1 o 2 cucharaditas de su saborizante favorito y mezcle bien. Vierta la masa en un molde tubular previamente engrasado y enharinado. Colóquelo en un horno frío. Hornee a 325°F durante 1 hora y 20 o 30 minutos.,harina&azúcar&polvo para hornear&sal&huevos&margarina&manteca de mantequilla&leche&vainilla,https://i.ytimg.com/vi/9TGjaVUe4rc/maxresdefault.jpg
92,Rosquillas de Mono,"2 panes de masa congelada, ablandada&1/2 taza de margarina&1 taza de azúcar moreno&1 caja grande de pudín de vainilla (no instantáneo)&2 cucharadas de leche&canela al gusto","Utilice una fuente engrasada de 9 x 13 pulgadas o una fuente de Bundt engrasada.&Derrita la mantequilla; agregue azúcar moreno, pudín, leche y canela.&Desmenuce 1 pan en bolas redondas; colóquelas en la fuente.&Vierta la mezcla sobre ellas y desmenuce el segundo pan sobre esto.&Deje reposar durante 2 1/2 a 3 horas.&Hornee durante 30 minutos a 350°F; voltee inmediatamente para que se enfríe.",pan&margarina&azúcar moreno&pudín de vainilla&leche&canela,https://i.pinimg.com/564x/c2/27/2a/c2272a2cc8e490df1fae52d2de7e0e7c.jpg
93,Rollitos de Pollo,"1 lata de rollos de media luna (crescent rolls) (8 oz.)&1 1/2 tazas de queso rallado mediano o fuerte&1 pollo, cocido y picado&1 lata de crema de pollo enlatada&1 1/2 tazas de leche",Desenrolle los rollos de media luna; agregue el pollo cocido y el queso rallado. Envuelva los rollos sobre el pollo y el queso; apriete los lados juntos.,rollos de media luna&queso&pollo&crema de pollo&leche,https://i.pinimg.com/564x/b5/59/d6/b559d60a514e1bf3d0fd4cb3fe1bd742.jpg
94,Pastel de Res y Arroz Español,1 lata de arroz español&1 lata de corned beef&1 cebolla picada&1/2 taza de queso Cheddar rallado,"Rocíe una fuente de horno de 1 cuarto con Pam.&Haga capas de arroz y carne, cebolla picada y queso rallado.&Hornee a 350°F durante 25 a 30 minutos.",arroz español&corned beef&cebolla&queso Cheddar,https://i.pinimg.com/564x/ef/40/5b/ef405b5d1fc3f1423729be449275d41a.jpg
95,Frijoles al Horno,"3 latas de frijoles de cerdo (1 lb.)&1/2 taza de pimiento morrón picado&1/2 taza de cebolla picada&3/4 de taza de catsup&1/3 de taza de azúcar moreno, apretado&1 cucharadita de sal&1/3 de cucharadita de pimienta negra&1 lb. de carne molida&1 cucharada de aceite","Cocine las cebollas y el pimiento morrón en aceite hasta que las cebollas estén transparentes.&Agregue la carne y cocine hasta que esté dorada.&Mezcle todos los ingredientes.&Hornee en un horno a 350°F durante 45 minutos, o después de mezclar, vierta en una olla de cocción lenta y cocine de 6 a 10 horas a fuego lento.",cerdo&pimiento morrón&cebolla&catsup&azúcar moreno&sal&pimienta negra&carne molida&aceite,https://i.pinimg.com/564x/20/25/df/2025dfd195e906260861cf2ae49fe349.jpg
96,Pollo Agridulce,2 tazas de pollo cocido en cubos&2 cucharadas de manteca&1/2 taza de cebolla (cortada en trozos grandes)&2 tazas de zanahorias en trozos&1 1/4 de taza de agua&3 cubitos de caldo de pollo&1/4 de taza de azúcar moreno apretado&2 cucharadas de almidón de maíz&1/4 de cucharadita de jengibre&1/4 de taza de catsup&2 cucharadas de vinagre&1 cucharada de salsa de soya&1 taza de pimiento verde (cortado en trozos grandes)&8 oz. de trozos de piña,"Sofría la cebolla en 2 cucharadas de manteca.&Agregue las zanahorias, el agua y los cubitos de caldo.&Cocine a fuego lento durante 5 minutos.&Combine los siguientes 6 ingredientes.&Agregue a la mezcla de vegetales y cocine hasta que se aclare.&Agregue el pimiento, la piña y el pollo.&Cubra y cocine durante 5 minutos o hasta que esté bien caliente.&Sírvalo con arroz o fideos de ángel. Rinde 6 porciones.",pollo&manteca&cebolla&zanahorias&agua&caldo de pollo&azúcar moreno&almidón de maíz&jengibre&catsup&vinagre&salsa de soya&pimiento verde&piña,https://i.pinimg.com/564x/b5/1c/fd/b51cfd3563c597df24eed0c2de2a40b4.jpg
97,Ambrosía,"8 a 10 naranjas jugosas, peladas y cortadas en cubos&1 taza de coco rallado húmedo&1/2 taza de nueces picadas&1/2 taza de cerezas, cortadas por la mitad&1/4 de taza de azúcar&1 taza de jugo de naranja",Combine todos los ingredientes. Refrigere durante la noche.&Rinde de 4 a 6 porciones.,naranjas&coco húmedo&nueces&cerezas&azúcar&jugo de naranja,https://i.pinimg.com/564x/7d/25/7a/7d257a38b1795e0188533c101101db36.jpg
98,Galletas de Mantequilla de Maní,1 taza de mantequilla de maní cremosa&1 taza de azúcar&1 huevo,"Mezcla todo y forma bolas; aplástalas con un tenedor.&Hornea en una bandeja para galletas sin engrasar.&Rinde 2 docenas.&Rápidas, fáciles y deliciosas.",mantequilla de maní&azúcar&huevo,https://i.pinimg.com/564x/df/13/7b/df137beaed78b61991e540a7c36ca2d5.jpg
99,Barras de Brickle,1 caja de mezcla para pastel amarillo&2 huevos&1/3 taza de margarina suave&1 lata de leche condensada Eagle Brand&1 taza de nueces&1/2 taza de trozos de Brickle,Mezcla todo con un tenedor:, mezcla de pastel,https://i.pinimg.com/564x/e2/2a/6c/e22a6c0de3ff8db29baa9cf03814485f.jpg
100,Pancakes,1 taza de harina&1 cucharadita de bicarbonato&1 cucharadita de sal&1 cucharada de azúcar&1 huevo&3 cucharadas de margarina derretida&1 taza de suero de leche,"Mezcla los ingredientes secos.&Añade el huevo, la margarina y el suero de leche. Revuelve a mano hasta que quede bien mezclado.&Vierte la mezcla en una sartén antiadherente o plancha caliente con un poco de aceite.&Cocina hasta que aparezcan burbujas y luego gira el pancake.",harina&bicarbonato&sal&azúcar&huevo&margarina&suero de leche,https://i.pinimg.com/564x/8e/0f/be/8e0fbef0b2b8932394316af6a040949a.jpg
101,Pastel de Verduras con Jamón Sin Corteza,"1/4 taza de mantequilla&1/4 lb. de champiñones en láminas&1 diente de ajo picado&1 calabacín mediano en rodajas finas&1/4 taza de cebolla picada&1 taza de jamón cocido en cubos&4 huevos&2 tazas de queso Ricotta&1 taza de queso Monterey Jack rallado&1 paquete de espinacas congeladas (10 oz.), descongeladas y escurridas&1/2 cucharadita de eneldo&sal y pimienta al gusto","Precalienta el horno a 325°F.&En una sartén grande, derrite la mantequilla y saltea los champiñones, el ajo, la cebolla y el calabacín hasta que estén tiernos, aproximadamente 2 minutos.&Añade el jamón y cocina 1 minuto más; reserva.",mantequilla&champiñones&ajo&calabacín&cebolla&huevos&queso Ricotta&queso Monterey Jack&espinacas congeladas&eneldo&sal,https://i.pinimg.com/564x/25/d4/e5/25d4e508618a039cf75138a23d02eae4.jpg
102,Repollo Rojo y Manzanas,"1 taza de repollo rojo finamente picado&2 cucharadas de mantequilla&2 manzanas, finamente rebanadas&1 cucharada de azúcar moreno&1 cucharada de vinagre","En una cacerola con agua hirviendo ligeramente salada, cocina el repollo rojo durante 5 minutos; luego escúrrelo.",repollo rojo&mantequilla&manzanas&azúcar moreno&vinagre,https://i.pinimg.com/564x/d1/3e/d5/d13ed5cc62b20470575b7f103ea6f215.jpg
103,Ensalada Alemana de Patatas,"4 lb. de papas cocidas&6 rebanadas de tocino, picado&1/2 taza de azúcar&3 cucharadas de harina&2 cucharaditas de sal&1/4 cucharadita de pimienta&1 taza de vinagre de sidra&1 taza de agua&4 cebollas verdes, en rodajas","Pela y corta las papas en rodajas finas.&Fría el tocino hasta que esté crujiente. Retira el tocino de la grasa y reserva 1/2 taza de la grasa para hacer el aderezo.&Mezcla el azúcar, la harina, la sal y la pimienta.&Incorpora en la grasa del tocino para hacer una pasta suave.&Agrega el vinagre y el agua.&Hierve durante 2 o 3 minutos.&Combina la salsa, las papas y las cebollas en la sartén.&Apaga la sartén.&Cúbrelo con un paño (no con una tapadera) y deja reposar a temperatura ambiente durante 3 o 4 horas.&Espolvorea con el tocino.",papas&tocino&azúcar&harina&sal&pimienta&vinagre de sidra&agua&cebollas verdes,https://i.pinimg.com/564x/b9/28/d9/b928d906b964990e4abeddf60a1e2300.jpg
104,Sopa de Invierno de Jan,"2 cucharadas de mantequilla&2 cebollas medianas, picadas&1 lb. de carne de res o pavo molida&1 diente de ajo, picado&3 tazas de caldo de carne o pollo&1 lata (28 oz.) de tomates enlatados, picados&1 taza de papas en cubos&3 zanahorias, picadas&1 taza de apio, picado&1 taza de judías verdes congeladas&1 taza de vino tinto seco&1/2 cucharadita de albahaca&1/4 cucharadita de tomillo&sal y pimienta al gusto",Sofría las cebollas y el ajo en mantequilla hasta que las cebollas estén tiernas. Agregue la carne y dore. Escurra bien. Agregue el resto de los ingredientes y cocine a fuego lento al menos una hora.,mantequilla&cebollas&carne de res&ajo&caldo de carne&tomates&papas&zanahorias&apio&judías verdes congeladas&vino tinto seco&albahaca&tomillo&sal,https://images.hola.com/imagenes/cocina/recetas/20230202225701/sopa-verduras-invierno/1-198-617/sopa-verduras-adobe-m.jpg
105,Té de Especias,1 frasco (1 lb. 2 oz.) de Tang&1 paquete de Kool-Aid de limonada con azúcar agregada&2 tazas de azúcar&1 cucharadita de clavos molidos&2 cucharaditas de canela&1/2 taza de té instantáneo,"Mezcla todos los ingredientes y guárdalos en un recipiente hermético. Cuando estés listo para servir, calienta 1 taza de agua en el microondas hasta que hierva. Agrega 3 cucharaditas bien colmadas.&Mezcla con agua y revuelve bien.&Genial para combatir el frío del invierno.",azúcar&azúcar&clavos molidos&canela&té instantáneo,https://i.pinimg.com/564x/2a/4e/12/2a4e12065da3654802579784c89b75a2.jpg
106,Pasta al Horno con Queso y Carne en Salsa Barbacoa,"1 lata de Manwich&1 lb. de carne molida de res&rebanadas de queso americano&pasta, cocida y escurrida","Cocina la carne molida y desmenúzala. Agrega el Manwich.&Rocía con Pam una fuente para horno.&Coloca la mitad de la pasta, luego la mitad de la mezcla de carne en la pasta. Pon suficientes rebanadas de queso para cubrir la carne.&Repite las capas.&Hornea durante 30 minutos a 350°F.",Manwich&carne molida&queso americano&pasta,https://i.pinimg.com/564x/d0/74/9e/d0749ef38b49e50ae47fdadf2291d79c.jpg
